index,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price
29,Hyde Park,78751,30.31171,-97.72455,Apartment,Entire home/apt,4,1,1,1,89
30,Barton Hills,78704,30.2607,-97.77194,Condominium,Entire home/apt,4,1.5,1,1,145
31,Zilker,78704,30.25775,-97.76354,House,Entire home/apt,2,1,1,1,89
32,Dawson,78704,30.23152,-97.76434,Guesthouse,Entire home/apt,2,1,1,1,110
33,Galindo,78704,30.23616,-97.76446,Guesthouse,Entire home/apt,3,1,1,2,150
34,South Congress,78704,30.24501,-97.74986,Guesthouse,Entire home/apt,3,1,1,3,150
35,Bouldin Creek,78704,30.24604,-97.75329,House,Entire home/apt,4,2,2,2,470
36,Bouldin Creek,78704,30.24775,-97.76403,House,Entire home/apt,6,1,2,3,145
37,Rosedale,78731,30.31383,-97.75161,Guesthouse,Entire home/apt,2,1,1,1,85
38,Angus Valley,78727,30.41519,-97.73019,Townhouse,Entire home/apt,6,2.5,2,3,230
39,University of Texas,78705,30.28985,-97.7451,Apartment,Entire home/apt,4,2,2,2,107
40,Cherry Creek,78749,30.20857,-97.85673,House,Private room,3,2,2,2,67
41,South Lamar,78704,30.24422,-97.77885,House,Entire home/apt,2,1,1,1,90
42,East Downtown,78702,30.27656,-97.72166,Bungalow,Private room,4,1,1,1,75
43,South Lamar,78704,30.23042,-97.78256,House,Private room,4,1.5,1,2,77
44,East Downtown,78741,30.24773,-97.72584,Condominium,Entire home/apt,3,1,1,2,130
45,Tarrytown,78703,30.29187,-97.76824,Guesthouse,Entire home/apt,4,1,1,1,115
46,Hyde Park,78751,30.3071,-97.73046,House,Entire home/apt,8,4,4,4,850
47,Old West Austin,78703,30.27577,-97.75608,House,Entire home/apt,4,1,2,2,152
48,Upper Boggy Creek,78722,30.29138,-97.71907,House,Entire home/apt,3,1,1,1,125
49,East Downtown,78702,30.26775,-97.72695,House,Entire home/apt,12,3,5,12,821
50,East Downtown,78702,30.25517,-97.72458,House,Entire home/apt,8,2,3,5,400
51,Travis Heights,78704,30.23778,-97.74453,Guesthouse,Entire home/apt,2,1,1,1,68
52,Steiner Ranch,78733,30.33937,-97.88116,House,Private room,2,1,1,1,95
53,Zilker,78704,30.25177,-97.77888,House,Entire home/apt,6,1,3,3,195
54,Zilker,78704,30.25003,-97.77859,House,Entire home/apt,6,1,3,3,245
55,Zilker,78704,30.25625,-97.76766,House,Entire home/apt,6,3,4,4,750
56,Downtown,78701,30.2752,-97.74863,House,Entire home/apt,6,1,3,4,404
57,Govalle,78721,30.27324,-97.71173,House,Private room,2,1,1,2,50
58,East Downtown,78702,30.26278,-97.73529,House,Entire home/apt,6,2,2,2,176
59,East Downtown,78702,30.26984,-97.72874,House,Private room,2,1,1,1,85
60,Downtown,78701,30.27066,-97.7414,Apartment,Entire home/apt,2,1,1,1,128
61,Hyde Park,78751,30.31262,-97.72543,Guest suite,Entire home/apt,3,1.5,1,1,109
62,Barton Hills,78704,30.26088,-97.77438,Apartment,Entire home/apt,2,1,1,1,89
63,Zilker,78704,30.25126,-97.77173,Guesthouse,Entire home/apt,2,1,0,1,95
64,South Lamar,78704,30.23596,-97.78299,House,Entire home/apt,4,2,2,2,400
65,Galindo,78704,30.23916,-97.76487,Apartment,Entire home/apt,2,1,1,1,100
66,Allendale,78731,30.32787,-97.75442,House,Entire home/apt,5,2.5,3,4,500
67,Windsor Park,78723,30.30971,-97.6948,Guesthouse,Entire home/apt,2,1,1,1,95
68,Clarksville,78703,30.2809,-97.76065,Apartment,Entire home/apt,2,1,1,1,119
